"access","InPlay","Ball","Strike","Foul","HitByPitch"
"contact_0_0",0.110209428537403,0.394579696830501,0.388267918814543,0.104918423246398,0.00202453257115637
"contact_0_1",0.19594711223116,0.402561535540443,0.210549936134222,0.187765388200366,0.0031760278938102
"contact_0_2",0.217364574082929,0.428786119270442,0.135938247148029,0.213061001434524,0.00485005806407542
"contact_1_0",0.163825471494541,0.344827586206897,0.331276164170731,0.158344482327047,0.00172629580078546
"contact_1_1",0.223261683056305,0.346923679401271,0.218301279262031,0.208511008615438,0.00300234966495518
"contact_1_2",0.244817608272852,0.365400123333808,0.147668516673782,0.238081684929557,0.00403206679000047
"contact_2_0",0.163611250627825,0.3248367654445,0.357106981416374,0.152184831742843,0.00226017076845806
"contact_2_1",0.239936793080506,0.297904191616766,0.234946773120426,0.224384564204923,0.00282767797737858
"contact_2_2",0.28838347328032,0.288049824834566,0.153422676972696,0.265639770894734,0.00450425401768337
"contact_3_0",0.0411012020162854,0.345482745250097,0.58549825513765,0.0271423032183017,0.000775494377665762
"contact_3_1",0.226964112512124,0.286517943743938,0.275848690591659,0.209699321047527,0.000969932104752667
"contact_3_2",0.321431849472235,0.221477742083525,0.157503441945847,0.295915557595227,0.00367140890316659
"middle_0_0",0.109889588595961,0.383297162035555,0.390151919450671,0.114099690468567,0.00256163944924752
"middle_0_1",0.166435277784314,0.39859284184766,0.252935501329506,0.178694966703532,0.00334141233498835
"middle_0_2",0.177335984095427,0.447006847802076,0.181709741550696,0.190103821515352,0.00384360503644798
"middle_1_0",0.155461274039206,0.339754111052615,0.341209624972903,0.161407203245486,0.00216778668978972
"middle_1_1",0.196740606609325,0.341693073789045,0.255198430662442,0.203772446054021,0.00259544288516674
"middle_1_2",0.209543504429149,0.370227476156672,0.196456680761752,0.219327757029538,0.0044445816228896
"middle_2_0",0.170629114850037,0.302487198244331,0.351499634235552,0.173098024871982,0.00228602779809802
"middle_2_1",0.214243810864719,0.294849231491259,0.270679338261176,0.218409010911651,0.00181860847119559
"middle_2_2",0.244490155744931,0.29172788715839,0.205700852189245,0.253893623273582,0.00418748163385248
"middle_3_0",0.0522478736330498,0.321081409477521,0.575637910085055,0.0498177399756987,0.00121506682867558
"middle_3_1",0.219143220698431,0.26678919835996,0.281068853386116,0.231160752156087,0.00183797539940619
"middle_3_2",0.279372087319107,0.225840078489085,0.201189600196223,0.291329408879078,0.00226882511650724
"power_0_0",0.108660754230374,0.367430721861102,0.400431590305008,0.120976867812311,0.00250006579120503
"power_0_1",0.147822572496716,0.39011821764171,0.29236132161261,0.167272910983126,0.00242497726583813
"power_0_2",0.144210429504277,0.458567092798676,0.229467488273705,0.163800239124437,0.00395475029890555
"power_1_0",0.145521049989242,0.325037653302733,0.364986014487556,0.162590547228,0.00186473499246934
"power_1_1",0.173771580345286,0.330876494023904,0.300464807436919,0.191633466135458,0.00325365205843293
"power_1_2",0.16249100542945,0.396938575260025,0.246941846012952,0.190292405311703,0.00333616798587035
"power_2_0",0.157044901570449,0.28754700287547,0.373147533731475,0.180933421809334,0.0013271400132714
"power_2_1",0.20243348041182,0.28212327851317,0.302580558898248,0.210589651022864,0.00227303115389758
"power_2_2",0.203138485680659,0.306002353864261,0.263318948607297,0.223930953315025,0.00360925853275794
"power_3_0",0.0603248259860789,0.311678267594741,0.576952822892498,0.0494972931167827,0.00154679040989946
"power_3_1",0.19073756432247,0.264493996569468,0.327958833619211,0.215094339622642,0.00171526586620926
"power_3_2",0.246790106771185,0.232328693066631,0.258142992296256,0.260035139883768,0.00270306798215975
